Activity (orders+deliveries),Product,Manufacturer,Category,Form,EPA Reg # (verify vs current label),RUP? (yes/no),REI hours,PHI days,Follow-up interval days,PHI notes (per crop if it varies),Max rate per season,Signal word (Caution/Warning/Danger),Label verified on (date),Verified by
8,"Gen Sencor Liquid 4#: (Me-Try-Buzin 4L, Metricor 4F, Rancor 4F) - 2.5 Ga","Various","Pre-Emerge Soybean","liquid","",,,,,,,,,
8,"Gen Valor EZ: (Zaltus SC, Flumioxazin 44SC) - 2.5 Gal","Various","Pre-Emerge Soybean","liquid","",,,,,,,,,
7,"Miravis Ace - 2.5 Gal","Syngenta","Fungicide","liquid","100-1645",,,,,,,,,
7,"Miravis Top - 2.5 Gal","Syngenta","Fungicide","liquid","100-1602",,,,,,,,,
7,"Trivapro - Bulk","Syngenta","Fungicide","liquid","100-1567",,,,,,,,,
7,"Gen Warrior 2LB: (Kendo 22.8, Serpent VenomCap, Province II) - 1 Gal","Various","Insecticide","liquid","",,,,,,,,,
7,"Enlist One - Bulk","Corteva","Post Emergence","liquid","62719-595",,,,,,,,,
7,"2, 4D Ester 6# - Bulk","Various","Pre-Emerge Corn","liquid","62719-539",,,,,,,,,
7,"Gen Sencor: (Metriclude DF, Metribuzin, Metrixx, Rancor 4F, Tricor DF) - 5","Various","Pre-Emerge Soybean","dry","",,,,,,,,,
6,"Warrant - Bulk","Bayer","Pre-Emerge Soybean","liquid","524-620",,,,,,,,,
5,"Gen Valor SX: (Zaltus SX, Flumioxazin 51%, Varsity, Panther) - 5#","Various","Pre-Emerge Soybean","dry","",,,,,,,,,
4,"Capreno - 1 Gal","Bayer","Post Emergence","liquid","264-1063",,,,,,,,,
4,"Degree Xtra - Bulk","Bayer","Pre-Emerge Corn","liquid","524-511",,,,,,,,,
4,"Gen Authority: (Aquesta 4F, Blanket 4F, Sulfentrazone 4SC) - 2.5 Gal","Various","Pre-Emerge Soybean","liquid","",,,,,,,,,
4,"Powder Keg - Corn","Alchemy BioScience","Seed Treatment","dry","",,,,,,,,,
4,"Powder Keg - Soybeans","Alchemy BioScience","Seed Treatment","dry","",,,,,,,,,
4,"Gen Select 2LB: (Ceridian 2EC, Clethodim 2EC, Volunteer) - Bulk","Various","Volunteer Corn","liquid","",,,,,,,,,
3,"Miravis Neo - 2.5 Gal","Syngenta","Fungicide","liquid","100-1605",,,,,,,,,
3,"Trivapro - 2.5 Gal","Syngenta","Fungicide","liquid","100-1567",,,,,,,,,
3,"Gen Liberty: Higher Quality (Interline, Inflame) - Bulk","Various","Post Emergence","liquid","",,,,,,,,,
3,"Harmony Extra - 15 oz","Corteva","Post Emergence","dry","62719-495",,,,,,,,,
3,"2, 4D Ester 6# - 2.5 Gal","Various","Pre-Emerge Corn","liquid","62719-539",,,,,,,,,
3,"Gen Banvel: (Dicamba DMA, Disha DMA) - 2.5 Gal","Various","Pre-Emerge Corn","liquid","",,,,,,,,,
3,"Gen Banvel: (Dicamba DMA, Disha DMA) - Bulk","Various","Pre-Emerge Corn","liquid","",,,,,,,,,
3,"Sharpen - 1 Gal","BASF","Pre-Emerge Corn","liquid","7969-361",,,,,,,,,
3,"Sequence - Bulk","Syngenta","Pre-Emerge Soybean","liquid","100-1078",,,,,,,,,
2,"Gen Quilt Xcel: (Aquila XL, Azoxyprop Xtra, Cover XL, Propaz) - 2.5 Gal","Various","Fungicide","liquid","",,,,,,,,,
2,"Zannis SC","Atticus LLC","Herbicide","liquid","",,,,,,,,,
2,"Endigo ZCX - 1 Gal","Syngenta","Insecticide","liquid","100-1218",,,,,,,,,
2,"Gen Capture LFR: (Batallion LFC, Seguro) - 2.5 Gal","Various","Insecticide","liquid","",,,,,,,,,
1,"Veltyma - 2.5 Gal","BASF","Fungicide","liquid","7969-416",,,,,,,,,
